Longitude,Latitude
-7.23415,54.57588
-5.93301,54.58799
-5.902,54.59046
-5.92346,54.58648
-6.32871,54.17777
-5.55982,54.57295
-5.70082,54.32662
-5.67007,54.63317
-6.76359,54.50673
-5.9213,54.64093
-5.94629,54.5973
-6.14575,54.4123
-6.61192,54.75359
-6.01794,54.57105
-6.00675,54.54005
-6.05175,54.50455
-5.63274,54.66193
-5.94765,54.59863
-5.93141,54.59594
-6.27862,54.88299
-6.28315,54.86471
-7.29748,54.98517
-6.0293,54.51113
-6.34178,54.19264
-5.92816,54.5963
-5.81872,54.85242
-5.93223,54.61121
-5.46907,54.49442
-6.6665,55.13246
-7.31293,54.98631
-5.53613,54.64161
-5.91114,54.65609
-6.35858,54.18334
-6.01072,54.53785
-5.82359,54.85308
-5.93903,54.62622
-5.93033,54.59919
-6.05635,54.51168
-6.27285,54.84732
-7.17657,55.01989
-5.69115,54.65705
-5.94724,54.69054
-6.6664,55.13336
-6.36535,54.37293
-6.3184,54.45334
-5.89174,54.59802
-5.69925,54.59339
-5.70059,54.32609
-6.03946,54.5266
-5.93044,54.59255
-5.69819,54.32968
-7.30077,54.60054
-5.71057,54.75303
-5.84431,54.86078
-6.95125,55.043
-5.66629,54.66354
-5.65203,54.40093
-5.5438,54.63675
-7.28685,54.60866
-5.92529,54.58757
-5.95204,54.66708
-7.31918,55.01934
-5.90894,54.67713
-6.67592,54.53227
-5.98577,54.66904
-7.18898,54.99601
-6.28231,54.35122
-5.94165,54.60283
-6.2881,54.34946
-7.34553,55.01997
-6.19352,54.71746
-5.96927,54.58923
-5.69854,54.58873
-7.32046,54.99187
-6.33475,54.46937
-5.8792,54.58289
-5.87803,54.60812
-5.96583,54.67425
-7.33109,55.00888
-5.69676,54.59457
-5.81105,54.59722
-5.9336,54.5946
-6.44469,54.41883
-6.26995,54.34875
-5.96719,54.5891
-5.92859,54.59937
-6.94861,55.04354
-6.53959,54.73787
-6.1546,54.41221
-5.92365,54.58435
-5.94607,54.59901
-7.27358,54.59688
-5.80751,54.59486
-5.98999,54.62879
-5.96111,54.57709
-5.95269,54.56994
-5.88321,54.58929
-6.75354,54.63729
-6.07741,54.5076
-5.93045,54.59942
-5.93855,54.58062
-5.92817,54.60577
-6.22758,54.62178
-6.33929,54.1742
-6.01573,54.53935
-6.59789,54.75316
-6.05808,54.49179
-6.75774,54.48468
-6.36563,54.45101
-6.21929,54.71458
-5.89508,54.40225
-5.6943,54.65014
-5.89137,54.58769
-5.98999,54.62879
-5.91703,54.59693
-6.0454,54.51109
-7.68264,54.4342
-5.92855,54.6001
-5.96927,54.58923
-5.92855,54.6001
-6.6559,54.35213
-5.7133,54.31521
-7.29643,54.60093
-5.98015,54.67279
-5.91612,54.57908
-5.92662,54.5873
-5.89747,54.4016
-7.31191,54.98701
-5.8707,54.60772
-5.95025,54.61838
-5.87183,54.69502
-6.45879,54.41132
-6.08233,54.52125
-6.26944,54.34959
-5.93172,54.60259
-6.00268,54.76437
-5.79843,54.71883
-7.30065,54.99682
-6.27021,54.86546
-6.44229,54.41927
-7.6481,54.35255
-6.22142,54.70667
-6.35849,54.163
-6.68065,55.12864
-6.24542,54.58698
-7.32592,54.99111
-5.93636,54.6146
-5.94261,54.61537
-6.41072,54.35364
-5.93866,54.58043
-5.92859,54.59937
-5.64203,54.24729
-5.97931,54.58433
-7.3001,54.59755
-6.30336,54.31844
-7.3562,55.01809
-5.9675,54.60951
-6.71219,55.18653
-5.93254,54.58706
-5.93804,54.62559
-7.28203,54.59684
-6.65366,54.34589
-5.93727,54.60792
-5.92419,54.5837
-6.63424,55.11765
-6.69618,54.24872
-5.8966,54.51743
-6.65847,55.19624
-5.81098,54.59348
-6.1854,54.71201
-6.19416,54.73175
-5.82905,54.45946
-5.88809,54.59576
-5.93804,54.54694
-5.65223,54.40486
-5.97376,54.67521
-5.94629,54.5973
-7.29321,54.60014
-5.90783,54.68524
